CROSSFIT:,Compra,Rentaplats,Taula dimarts,Cassoles dimecres,Taula dijous,"Relleno pollo x3, Relleno fajitas x4, Fajitas x1, Salsa x1, Doritos x1, Peix x1, Mayo x1, Remenat de verdures x2, Ous x12, Hamburguesa x6, Tomata natural x1"
PITUS:,Cuina,Basures ,Lavabo,Taula dilluns,Cassoles dimarts ,Taula dimecres
PUIGDE:,Sopars,Basures ,Lavabo,Cassoles dilluns,Cassoles dijous,"dilluns: relleno pollo, dimarts: taco tuesday, dimecres: peix planxa + verduretes, dijous: ous + hamburgueses+ tomata natural"
